Week,Singer,Position
1,BTS,1
1,King GNU,2
1,YOASOBI,3
1,Yuuri,4
1,Official HIGE DANdism,5
2,BTS,1
2,YOASOBI,2
2,King GNU,3
2,Yuuri,4
2,Vaundy,5
3,BTS,1
3,YOASOBI,2
3,King GNU,3
3,Yuuri,4
3,Vaundy,5
4,BTS,1
4,YOASOBI,2
4,King GNU,3
4,Yuuri,4
4,Vaundy,5
5,BTS,1
5,YOASOBI,2
5,King GNU,3
5,Vaundy,4
5,Yuuri,5
